,rounded_lat_lng,cpso,name,location
48,"43.4415,-80.502",4,"Jacob Borys, Thomas John Borys, Jennifer Miriam Dignam, Ronald Peter Toews",Suite 5 100 Highland Road West Kitchener ON N2M 3B5
49,"43.4415,-80.513",5,"Claire Marjorie Harlick, Stephen Thomas Keleher, Lana Suanne Tan, Donna Marie Ward, Dawn Su Ying Yew",Hospice of Waterloo 298 Lawrence Avenue Kitchener ON N2M 1Y4
51,"43.4424,-80.5429",2,"Kent Evan Bauman, Jeffrey Allen King",Beechwood Forest Medical Centre Suite 2 890 Glasgow Street West Kitchener ON N2N 3G6
59,"43.4478,-80.5148",4,"Robert John Ghali, Donald Norman Hickman, Jaishree Sehgal, John MacInnis Stewart",Suite 209 525 Belmont Avenue West Kitchener ON N2M 5E2
63,"43.4487,-80.5157",5,"Mohamed Emad Hussein Abdalla, Robert Norman Bodkin, Thomas Richard Irvine, Joe Kim, Norman Glenn Pearce",Suite 204 535 Belmont Avenue West Kitchener ON N2M 5E9
66,"43.4502,-80.5154",2,"Luke Yang Tan, Sean Cannon Welling","South Kitchener Family Medicine 564 Belmont Ave W, Unit 208 Kitchener ON N2M 5N6"
67,"43.4502,-80.5155",5,"Matthew Joseph Barnes, Anthony Ayebakro Davies, Keri Delaney, Satinder Kaur, Muhammad Shahnawaz",Suite 208 564 Belmont Ave W Kitchener ON N2M 5N6
68,"43.4506,-80.4975",2,"Aliya Ali, Martin Johann Schleich",Kitchener Downtown community Health Centre 44 Francis St S Kitchener ON N2G2A2 Kitchener ON N2G 2A2
70,"43.4511,-80.4979",2,"Leanne Astawan, Jodie Lynne Mary Calvert Wang",Suite 120 121 Charles Street West Kitchener ON N2G 1H6
73,"43.4523,-80.4992",4,"Jordache Robyn McLeod, Upender Kumar Mehan, John Pefanis, Marc Robert Sawyer",10B Victoria Street South Kitchener ON N2G 1C5
75,"43.4527,-80.4988",2,"Alexandr Kolbasnik, Dimitar Delyanov Kolev",10-B Victoria St. S. Kitchener ON N2G 1C5
86,"43.4568,-80.5109",2,"Nicholas Craig Cornell, Elena Borissova Poliakova",835 King Street West Kitchener ON N2G 4K9
90,"43.4573,-80.4729",2,"F. Michael Anthony Rondilla, Melissa Elizabeth Welsh",Frederick Street Medical Clinic 385 Frederick Street Suite 16 Kitchener ON N2H 2P2
93,"43.4587,-80.4728",3,"Shahzad Aziz Bhatty, Ahmed Mohamed Alaaeldin Mohamed, Shiva Shayani Majd",Phoenix Healthcare Centre Suite 301 450 Frederick Street Kitchener ON N2H 2P5
96,"43.4611,-80.4403",4,"Anne Elizabeth Lehan, David William Mee, Catherine Cornelia Sandor, Mary Michele Worndl",Unit 2 210 Lorraine Avenue Kitchener ON N2B 3T4
100,"43.4718,-80.5388",2,"Adesuwa Leonora Ogbeide, Anne Nwanyibekee Uwalaka",170 University Ave W Waterloo ON N2L 3E9
103,"43.4757,-80.4848",3,"Julie Lynne Maidment, Michael Nartey, Alison Rebecca Yeung",Unit 101 493 Lancaster Street West Kitchener ON N2K 1L8
104,"43.4763,-80.1574",2,"Seema Gupta, Nipun Mohan Lal Madan",28 Brock Road North Guelph ON N1H 6H9
114,"43.5565,-80.2532",2,"Li-Hsin Chang, Falih Mohammad Hafuth",Guelph General Hospital 115 Delhi Street Guelph ON N1E 4J4
126,"43.9518,-79.4555",2,"Michael Chernick, Nathan P Frank",Suite 100 13291 Yonge Street Richmond Hill ON L4E 4L6
